continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,Prev_wage_normal,age_of_estab,Quality_Rating,yr_of_estab_str
3,2,1.0,0.0,5.147494476813453,2005,0.0,11.507660931600487,3.0,1.0,99474.93,20,3,187.0
1,2,1.0,0.0,8.137688184977605,1919,2.0,11.898757703372578,3.0,1.0,147083.79,106,3,101.0
5,0,0.0,0.0,7.5411524551363085,2000,4.0,11.168303025492799,3.0,1.0,70848.78,25,1,182.0
3,2,0.0,1.0,9.931637595952473,2007,2.0,11.862664662127838,3.0,1.0,141869.75,18,2,189.0
3,3,0.0,0.0,8.030084094267563,2006,2.0,11.005842827483072,3.0,1.0,60225.0,19,1,188.0
3,2,0.0,1.0,8.546169299652755,1907,3.0,11.699541039260938,3.0,1.0,120516.39,118,2,89.0
1,2,0.0,0.0,7.853216388156072,1999,1.0,11.426057350445314,3.0,0.0,91679.8,26,1,181.0
3,2,0.0,0.0,7.719129840906732,1907,2.0,11.15039613177363,3.0,0.0,69591.39,118,1,89.0
3,2,0.0,0.0,7.978310969867722,1994,3.0,11.270179153884994,3.0,1.0,78447.05,31,1,176.0
3,1,1.0,0.0,8.019941687677365,2004,3.0,11.668796863511536,3.0,1.0,116867.59,21,3,186.0
3,2,1.0,0.0,7.820037989458753,1997,3.0,11.485868299025686,3.0,1.0,97330.56,28,3,179.0
3,2,0.0,0.0,7.7823903355874595,1908,1.0,11.206096454211252,3.0,1.0,73577.64,117,1,90.0
3,2,0.0,0.0,7.8567067930958405,1993,4.0,11.06110684165092,3.0,1.0,63646.96,32,1,175.0
5,1,0.0,0.0,7.415175109613295,2011,3.0,10.16815915305531,3.0,1.0,26060.06,14,1,193.0
3,2,0.0,1.0,6.720220155135295,2010,4.0,11.323599474304553,3.0,1.0,82751.67,15,2,192.0
3,0,0.0,0.0,8.251403065380556,1861,1.0,11.03712410129579,3.0,1.0,62138.69,164,1,43.0
3,1,1.0,1.0,8.263074835802596,1911,4.0,11.52166010667765,3.0,1.0,100877.29,114,4,93.0
5,1,0.0,0.0,8.071218539969863,1995,4.0,5.8579785820230414,0.0,1.0,728033.0719999999,30,1,177.0
3,2,1.0,0.0,6.313548046277095,1985,1.0,12.025835195476262,3.0,1.0,167014.38,40,3,167.0
